messages_sent,num_periods,depth,avg_children,num_leaves,type,num_nodes
8.5,4,2,1.5,2,0,4
9.375,4,3,1.6666666666666667,5,0,8
9.416666666666666,4,7,1.5714285714285714,5,0,12
9.625,4,6,1.8333333333333333,10,0,16
10.35,4,6,1.5714285714285714,13,0,20
9.583333333333334,4,8,1.9090909090909092,13,0,24
9.821428571428571,4,12,1.9166666666666667,16,0,28
9.96875,4,18,1.5,12,0,32
11.083333333333334,5,11,2.0833333333333335,24,0,36
10.075,4,12,1.7777777777777777,22,0,40
10.090909090909092,4,15,1.6818181818181819,22,0,44
10.229166666666666,4,13,1.7,28,0,48
10.038461538461538,4,19,1.7916666666666667,28,0,52
9.910714285714286,5,25,1.7586206896551724,27,0,56
10.116666666666667,4,16,1.875,36,0,60
10.125,5,10,1.9230769230769231,38,0,64
11.044117647058824,5,9,1.7857142857142858,40,0,68
14.402777777777779,6,16,1.625,32,0,72
10.263157894736842,5,15,1.7352941176470589,42,0,76
10.0625,4,18,1.8611111111111112,44,0,80
10.142857142857142,5,14,1.775,44,0,84
10.125,4,17,1.8,48,0,88
9.945652173913043,4,19,1.9069767441860466,49,0,92
10.239583333333334,4,20,1.7857142857142858,54,0,96
10.22,5,22,1.8863636363636365,56,0,100
10.85576923076923,5,23,1.6346153846153846,52,0,104
13.481481481481481,6,25,2.0232558139534884,65,0,108
12.071428571428571,5,18,1.736842105263158,55,0,112
11.525862068965518,5,32,1.6896551724137931,58,0,116
10.3,5,20,1.934782608695652,74,0,120
14.411290322580646,6,19,1.734375,60,0,124
10.1640625,5,20,1.98,78,0,128
12.537878787878787,5,36,1.6984126984126984,69,0,132
10.242647058823529,5,31,1.8032786885245902,75,0,136
12.842857142857143,5,33,1.819672131147541,79,0,140
12.555555555555555,5,25,1.6575342465753424,71,0,144
15.337837837837839,6,40,1.7272727272727273,71,0,148
10.302631578947368,5,30,1.7397260273972603,79,0,152
11.326923076923077,5,23,1.8115942028985508,87,0,156
12.43125,5,23,1.8985507246376812,91,0,160
10.439024390243903,5,28,1.6666666666666667,80,0,164
10.202380952380953,5,24,1.8045977011494252,81,0,168
12.366279069767442,5,18,1.8227848101265822,93,0,172
10.255681818181818,5,21,1.8831168831168832,99,0,176
10.366666666666667,5,36,1.8518518518518519,99,0,180
12.532608695652174,5,18,1.972972972972973,110,0,184
12.840425531914894,5,33,1.7439024390243902,106,0,188
12.28125,5,16,2.0,110,0,192
12.591836734693878,5,29,1.8,106,0,196
12.565,5,30,1.7524752475247525,99,0,200
10.593137254901961,5,33,1.7872340425531914,110,0,204
11.10576923076923,5,23,1.7596153846153846,104,0,208
12.570754716981131,5,32,1.7647058823529411,110,0,212
15.180555555555555,7,45,1.930232558139535,130,0,216
12.754545454545454,5,25,1.86,120,0,220
11.714285714285714,5,33,1.6607142857142858,112,0,224
12.552631578947368,5,35,1.8333333333333333,120,0,228
15.65948275862069,7,46,1.8415841584158417,131,0,232
12.30084745762712,6,35,1.8240740740740742,128,0,236
12.608333333333333,5,40,1.8157894736842106,126,0,240
12.688524590163935,5,19,1.8785046728971964,137,0,244
12.641129032258064,6,41,1.805084745762712,130,0,248
13.571428571428571,7,28,1.717557251908397,121,0,252
11.50390625,6,34,1.8448275862068966,140,0,256
8.5,4,2,1.5,2,1,4
9.25,4,3,2.0,5,1,8
9.833333333333334,5,4,2.25,8,1,12
9.375,4,5,2.6,11,1,16
10.25,5,6,2.25,12,1,20
9.083333333333334,4,3,3.5,18,1,24
9.642857142857142,4,9,2.1666666666666665,16,1,28
9.4375,4,9,2.5,20,1,32
10.88888888888889,5,8,2.2142857142857144,22,1,36
9.475,4,9,2.466666666666667,25,1,40
9.818181818181818,4,10,2.3125,28,1,44
10.833333333333334,5,10,2.588235294117647,31,1,48
11.26923076923077,5,9,2.473684210526316,33,1,52
13.946428571428571,6,13,2.260869565217391,33,1,56
9.733333333333333,5,9,2.7,40,1,60
9.75,5,13,2.4583333333333335,40,1,64
10.102941176470589,5,7,2.739130434782609,45,1,68
9.972222222222221,5,11,2.739130434782609,49,1,72
9.789473684210526,5,7,2.75,52,1,76
9.9875,5,12,2.533333333333333,50,1,80
10.178571428571429,5,18,2.2857142857142856,49,1,84
11.295454545454545,5,14,2.361111111111111,52,1,88
9.956521739130435,5,11,2.4571428571428573,57,1,92
10.09375,5,12,2.5757575757575757,63,1,96
11.55,5,16,2.375,60,1,100
10.163461538461538,5,16,2.5945945945945947,67,1,104
9.675925925925926,4,11,2.5384615384615383,69,1,108
10.839285714285714,5,14,2.58974358974359,73,1,112
10.913793103448276,5,20,2.4130434782608696,70,1,116
11.783333333333333,5,12,2.522727272727273,76,1,120
10.387096774193548,5,21,2.5348837209302326,81,1,124
11.65625,5,22,2.42,78,1,128
10.757575757575758,5,22,2.630434782608696,86,1,132
10.904411764705882,6,20,2.617021276595745,89,1,136
10.778571428571428,5,16,2.627450980392157,89,1,140
10.791666666666666,5,12,2.58,94,1,144
10.858108108108109,5,26,2.456140350877193,91,1,148
10.822368421052632,5,21,2.5454545454545454,97,1,152
10.903846153846153,5,21,2.433333333333333,96,1,156
11.70625,5,15,2.6785714285714284,104,1,160
11.548780487804878,5,20,2.736842105263158,107,1,164
11.767857142857142,5,23,2.4545454545454546,102,1,168
10.837209302325581,5,17,2.53125,108,1,172
11.051136363636363,5,14,2.492063492063492,113,1,176
11.761111111111111,5,20,2.5846153846153848,115,1,180
12.03804347826087,5,18,2.4714285714285715,114,1,184
10.579787234042554,5,21,2.80327868852459,127,1,188
12.052083333333334,5,21,2.3896103896103895,115,1,192
11.790816326530612,5,20,2.6818181818181817,130,1,196
11.845,5,23,2.6,130,1,200
11.941176470588236,5,28,2.4358974358974357,126,1,204
14.51923076923077,7,27,2.6575342465753424,135,1,208
11.985849056603774,5,23,2.4375,132,1,212
11.796296296296296,5,28,2.6447368421052633,140,1,216
10.85909090909091,5,23,2.5308641975308643,139,1,220
12.084821428571429,5,27,2.2934782608695654,132,1,224
12.017543859649123,5,25,2.3516483516483517,137,1,228
14.22844827586207,7,26,2.5232558139534884,146,1,232
11.88135593220339,5,27,2.4615384615384617,145,1,236
11.870833333333334,5,20,2.623529411764706,155,1,240
11.094262295081966,6,25,2.4456521739130435,152,1,244
12.060483870967742,5,23,2.5444444444444443,158,1,248
11.924603174603174,5,18,2.5106382978723403,158,1,252
11.85546875,5,15,2.7126436781609193,169,1,256
8.0,4,1,3.0,3,2,4
8.5,4,2,3.5,6,2,8
8.666666666666666,4,3,3.6666666666666665,9,2,12
8.75,4,4,3.75,12,2,16
9.0,5,5,3.8,15,2,20
8.833333333333334,4,4,4.4,19,2,24
9.285714285714286,5,5,3.857142857142857,21,2,28
8.875,4,4,3.875,24,2,32
8.777777777777779,4,5,4.375,28,2,36
8.775,4,7,4.75,32,2,40
8.818181818181818,4,6,4.3,34,2,44
8.8125,4,7,4.2727272727272725,37,2,48
9.26923076923077,5,6,3.923076923076923,39,2,52
9.0,5,10,4.416666666666667,44,2,56
9.1,5,8,4.666666666666667,48,2,60
12.703125,6,9,3.9375,48,2,64
9.647058823529411,5,6,4.4,53,2,68
9.027777777777779,5,8,4.857142857142857,58,2,72
9.289473684210526,5,9,4.111111111111111,58,2,76
9.275,5,9,4.333333333333333,62,2,80
10.452380952380953,5,7,4.444444444444445,66,2,84
9.386363636363637,5,8,4.421052631578948,69,2,88
9.717391304347826,5,11,4.136363636363637,70,2,92
9.5625,5,12,4.086956521739131,73,2,96
9.34,5,13,4.571428571428571,79,2,100
8.923076923076923,4,11,4.12,79,2,104
10.194444444444445,5,12,4.2,83,2,108
10.660714285714286,5,11,4.32,87,2,112
10.637931034482758,5,13,4.071428571428571,88,2,116
9.616666666666667,5,8,4.103448275862069,91,2,120
9.459677419354838,5,9,4.444444444444445,97,2,124
10.640625,5,15,4.428571428571429,100,2,128
10.5,5,12,4.225806451612903,101,2,132
10.323529411764707,5,17,3.9705882352941178,102,2,136
9.692857142857143,5,11,4.387096774193548,109,2,140
10.86111111111111,5,9,4.242424242424242,111,2,144
10.804054054054054,5,19,4.142857142857143,113,2,148
10.55921052631579,5,14,4.081081081081081,115,2,152
10.846153846153847,5,16,4.162162162162162,119,2,156
10.775,5,17,4.051282051282051,121,2,160
